CellID,DNA_6,ELANE,CD57,CD45,DNA_7,CD11B,SMA,CD16,DNA_8,ECAD,FOXP3,NCAM,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
2705,19955.492537313432,1323.134328358209,179.08955223880596,1757.2985074626865,11145.388059701492,972.6567164179105,1925.3880597014925,390.46268656716416,13842.955223880597,1076.8507462686566,452.56716417910445,915.8955223880597,1010.2537313432836,863.0597014925373,67,10.567941122650959,9.047562339957311,0.5167556632269944,0.8589743589743589,0.6767676767676768,-1.4821309587525648
2706,30094.816901408452,1335.8309859154929,183.08450704225353,1724.5915492957747,15528.070422535211,1010.6901408450705,1074.8591549295775,377.67605633802816,19211.309859154928,1161.9859154929577,325.67605633802816,911.4366197183099,1026.2676056338028,863.6338028169014,71,10.954344006970276,8.517154622173406,0.6288657652687663,0.8554216867469879,0.6454545454545455,1.058636093989215
2707,24945.102564102563,1382.4102564102564,196.16666666666666,980.7435897435897,12841.205128205129,1084.2179487179487,1153.5,367.46153846153845,16356.884615384615,1180.4102564102564,280.43589743589746,901.0897435897435,1061.0384615384614,864.9871794871794,78,11.306111338371998,9.223265410882208,0.5783665896432328,0.8764044943820225,0.5909090909090909,0.028984247620881073
2708,24304.93442622951,1424.344262295082,179.8360655737705,924.3934426229508,12576.032786885246,995.7213114754098,1988.639344262295,373.6393442622951,15780.409836065573,1145.4426229508197,280.8524590163934,912.0327868852459,1072.016393442623,863.2131147540983,61,10.2518091301479,7.775892568202208,0.6516849211088315,0.953125,0.6777777777777778,-0.9368291038605093
2709,24116.610169491527,1590.4915254237287,303.64406779661016,1240.1186440677966,14230.610169491525,1463.2711864406779,793.728813559322,998.6101694915254,18332.745762711864,1304.2372881355932,1422.3050847457628,952.9322033898305,1469.3898305084747,863.1355932203389,59,9.498165253400282,7.902470106222676,0.5547761647321516,0.9672131147540983,0.8194444444444444,0.4790451909046879
2710,18070.34375,1496.96875,283.4270833333333,1976.3333333333333,10013.864583333334,868.875,1754.5833333333333,753.71875,12097.395833333334,1148.3229166666667,391.8229166666667,924.40625,1607.7083333333333,864.3020833333334,96,14.061836744037763,9.37782313911251,0.7451482317573878,0.8205128205128205,0.5714285714285714,1.040404192607229
2711,11677.148148148148,1616.4444444444443,376.1111111111111,340.6296296296296,6712.185185185185,1121.0925925925926,630.0370370370371,488.9074074074074,8371.666666666666,3154.4074074074074,449.2962962962963,959.5185185185185,1752.5740740740741,862.5185185185185,54,9.49771205221306,7.267138255235622,0.6438565814628021,0.9152542372881356,0.75,0.6886139881259783
2712,25375.683544303796,1376.4556962025317,191.1012658227848,1814.6708860759493,15120.772151898735,933.1518987341772,1373.367088607595,1137.0379746835442,17304.13924050633,1134.3291139240507,1826.6708860759493,904.4430379746835,39.81012658227848,866.0759493670886,79,13.842917140776931,7.551223555947222,0.8381149475718828,0.8977272727272727,0.7596153846153846,0.0303207388155902
2713,12380.797101449276,1510.072463768116,3492.4202898550725,629.1739130434783,7466.405797101449,1412.072463768116,471.2173913043478,1922.2173913043478,8761.579710144928,1156.3188405797102,287.6231884057971,914.463768115942,250.36231884057972,864.231884057971,69,9.773921210788199,8.986440810444181,0.3932526431435042,0.92,0.7666666666666667,1.1628139474682346
2714,23064.50684931507,1245.0684931506848,262.027397260274,1697.027397260274,13824.72602739726,1137.2397260273972,991.7602739726027,998.3561643835617,16206.369863013699,1119.5342465753424,327.26027397260276,882.1643835616438,360.93835616438355,868.7808219178082,146,19.902333318359574,9.679764540746389,0.8737566817660259,0.9012345679012346,0.7373737373737373,0.19675373704659038
